date;heure;PM25;PM10;O3;NO2;CO
23/07/2011;15;n/d;9;n/d;14;n/d
23/07/2011;16;n/d;12;n/d;15;n/d
23/07/2011;17;n/d;12;n/d;16;n/d
23/07/2011;18;n/d;13;n/d;18;n/d
23/07/2011;19;n/d;16;n/d;16;n/d
23/07/2011;20;n/d;20;n/d;17;n/d
23/07/2011;21;n/d;23;n/d;17;n/d
23/07/2011;22;n/d;24;n/d;18;n/d
23/07/2011;23;n/d;19;n/d;24;n/d
23/07/2011;24;n/d;17;n/d;28;n/d
24/07/2011;1;n/d;14;n/d;23;n/d
24/07/2011;2;n/d;14;n/d;19;n/d
24/07/2011;3;n/d;14;n/d;11;n/d
24/07/2011;4;n/d;15;n/d;10;n/d
24/07/2011;5;n/d;15;n/d;10;n/d
24/07/2011;6;n/d;16;n/d;12;n/d
24/07/2011;7;n/d;15;n/d;10;n/d
24/07/2011;8;n/d;15;n/d;11;n/d
24/07/2011;9;n/d;16;n/d;10;n/d
24/07/2011;10;n/d;16;n/d;10;n/d
24/07/2011;11;n/d;15;n/d;9;n/d
24/07/2011;12;n/d;15;n/d;9;n/d
24/07/2011;13;n/d;17;n/d;8;n/d
24/07/2011;14;n/d;19;n/d;6;n/d
24/07/2011;15;n/d;21;n/d;7;n/d
24/07/2011;16;n/d;20;n/d;10;n/d
24/07/2011;17;n/d;22;n/d;13;n/d
24/07/2011;18;n/d;23;n/d;20;n/d
24/07/2011;19;n/d;23;n/d;21;n/d
24/07/2011;20;n/d;22;n/d;16;n/d
24/07/2011;21;n/d;19;n/d;18;n/d
24/07/2011;22;n/d;15;n/d;22;n/d
24/07/2011;23;n/d;13;n/d;15;n/d
24/07/2011;24;n/d;10;n/d;15;n/d
25/07/2011;1;n/d;12;n/d;10;n/d
25/07/2011;2;n/d;12;n/d;9;n/d
25/07/2011;3;n/d;9;n/d;7;n/d
25/07/2011;4;n/d;7;n/d;8;n/d
25/07/2011;5;n/d;6;n/d;17;n/d
25/07/2011;6;n/d;8;n/d;29;n/d
25/07/2011;7;n/d;10;n/d;33;n/d
25/07/2011;8;n/d;13;n/d;35;n/d
25/07/2011;9;n/d;15;n/d;33;n/d
25/07/2011;10;n/d;17;n/d;30;n/d
25/07/2011;11;n/d;15;n/d;25;n/d
25/07/2011;12;n/d;13;n/d;18;n/d
25/07/2011;13;n/d;16;n/d;20;n/d
25/07/2011;14;n/d;18;n/d;17;n/d
25/07/2011;15;n/d;21;n/d;18;n/d
25/07/2011;16;n/d;23;n/d;21;n/d
25/07/2011;17;n/d;24;n/d;19;n/d
25/07/2011;18;n/d;23;n/d;15;n/d
25/07/2011;19;n/d;25;n/d;19;n/d
25/07/2011;20;n/d;28;n/d;21;n/d
25/07/2011;21;n/d;25;n/d;19;n/d
25/07/2011;22;n/d;21;n/d;16;n/d
25/07/2011;23;n/d;15;n/d;14;n/d
25/07/2011;24;n/d;16;n/d;13;n/d
26/07/2011;1;n/d;19;n/d;11;n/d
26/07/2011;2;n/d;19;n/d;10;n/d
26/07/2011;3;n/d;20;n/d;12;n/d
26/07/2011;4;n/d;19;n/d;17;n/d
26/07/2011;5;n/d;22;n/d;31;n/d
26/07/2011;6;n/d;27;n/d;42;n/d
26/07/2011;7;n/d;31;n/d;51;n/d
26/07/2011;8;n/d;35;n/d;55;n/d
26/07/2011;9;n/d;40;n/d;71;n/d
26/07/2011;10;n/d;43;n/d;49;n/d
26/07/2011;11;n/d;36;n/d;40;n/d
26/07/2011;12;n/d;34;n/d;27;n/d
26/07/2011;13;n/d;29;n/d;n/d;n/d
26/07/2011;14;n/d;30;n/d;24;n/d
26/07/2011;15;n/d;32;n/d;22;n/d
26/07/2011;16;n/d;31;n/d;20;n/d
26/07/2011;17;n/d;30;n/d;28;n/d
26/07/2011;18;n/d;32;n/d;26;n/d
26/07/2011;19;n/d;33;n/d;31;n/d
26/07/2011;20;n/d;34;n/d;36;n/d
26/07/2011;21;n/d;33;n/d;45;n/d
26/07/2011;22;n/d;29;n/d;23;n/d
26/07/2011;23;n/d;27;n/d;22;n/d
26/07/2011;24;n/d;27;n/d;17;n/d
27/07/2011;1;n/d;26;n/d;14;n/d
27/07/2011;2;n/d;22;n/d;11;n/d
27/07/2011;3;n/d;20;n/d;12;n/d
27/07/2011;4;n/d;22;n/d;20;n/d
27/07/2011;5;n/d;22;n/d;28;n/d
27/07/2011;6;n/d;24;n/d;43;n/d
27/07/2011;7;n/d;28;n/d;43;n/d
27/07/2011;8;n/d;28;n/d;35;n/d
27/07/2011;9;n/d;26;n/d;37;n/d
27/07/2011;10;n/d;27;n/d;33;n/d
27/07/2011;11;n/d;24;n/d;25;n/d
27/07/2011;12;n/d;21;n/d;25;n/d
27/07/2011;13;n/d;24;n/d;31;n/d
27/07/2011;14;n/d;20;n/d;29;n/d
27/07/2011;15;n/d;17;n/d;29;n/d
27/07/2011;16;n/d;9;n/d;33;n/d
27/07/2011;17;n/d;13;n/d;31;n/d
27/07/2011;18;n/d;13;n/d;35;n/d
27/07/2011;19;n/d;13;n/d;45;n/d
27/07/2011;20;n/d;18;n/d;40;n/d
27/07/2011;21;n/d;21;n/d;20;n/d
27/07/2011;22;n/d;20;n/d;23;n/d
27/07/2011;23;n/d;19;n/d;25;n/d
27/07/2011;24;n/d;19;n/d;21;n/d
28/07/2011;1;n/d;21;n/d;15;n/d
28/07/2011;2;n/d;23;n/d;10;n/d
28/07/2011;3;n/d;23;n/d;11;n/d
28/07/2011;4;n/d;24;n/d;13;n/d
28/07/2011;5;n/d;26;n/d;21;n/d
28/07/2011;6;n/d;29;n/d;33;n/d
28/07/2011;7;n/d;30;n/d;41;n/d
28/07/2011;8;n/d;47;n/d;39;n/d
28/07/2011;9;n/d;40;n/d;36;n/d
28/07/2011;10;n/d;33;n/d;26;n/d
28/07/2011;11;n/d;31;n/d;26;n/d
28/07/2011;12;n/d;31;n/d;21;n/d
28/07/2011;13;n/d;29;n/d;21;n/d
28/07/2011;14;n/d;42;n/d;36;n/d
28/07/2011;15;n/d;31;n/d;27;n/d
28/07/2011;16;n/d;24;n/d;28;n/d
28/07/2011;17;n/d;25;n/d;25;n/d
28/07/2011;18;n/d;30;n/d;33;n/d
28/07/2011;19;n/d;37;n/d;46;n/d
28/07/2011;20;n/d;42;n/d;51;n/d
28/07/2011;21;n/d;44;n/d;35;n/d
28/07/2011;22;n/d;36;n/d;31;n/d
28/07/2011;23;n/d;31;n/d;29;n/d
28/07/2011;24;n/d;32;n/d;20;n/d
29/07/2011;1;n/d;30;n/d;15;n/d
29/07/2011;2;n/d;29;n/d;15;n/d
29/07/2011;3;n/d;31;n/d;12;n/d
29/07/2011;4;n/d;31;n/d;11;n/d
29/07/2011;5;n/d;34;n/d;18;n/d
29/07/2011;6;n/d;38;n/d;32;n/d
29/07/2011;7;n/d;47;n/d;59;n/d
29/07/2011;8;n/d;54;n/d;60;n/d
29/07/2011;9;n/d;53;n/d;40;n/d
29/07/2011;10;n/d;47;n/d;34;n/d
29/07/2011;11;n/d;49;n/d;36;n/d
29/07/2011;12;n/d;46;n/d;28;n/d
29/07/2011;13;n/d;42;n/d;24;n/d
29/07/2011;14;n/d;38;n/d;25;n/d
29/07/2011;15;n/d;34;n/d;20;n/d
29/07/2011;16;n/d;33;n/d;24;n/d
29/07/2011;17;n/d;36;n/d;32;n/d
29/07/2011;18;n/d;35;n/d;30;n/d
29/07/2011;19;n/d;32;n/d;23;n/d
   ;20;n/d;33;n/d;32;n/d
29/07/2011;21;n/d;43;n/d;28;n/d
29/07/2011;22;n/d;n/d;n/d;30;n/d
29/07/2011;23;n/d;44;n/d;31;n/d
29/07/2011;24;n/d;32;n/d;26;n/d
30/07/2011;1;n/d;25;n/d;19;n/d
30/07/2011;2;n/d;20;n/d;15;n/d
30/07/2011;3;n/d;20;n/d;14;n/d
30/07/2011;4;n/d;19;n/d;14;n/d
30/07/2011;5;n/d;17;n/d;18;n/d
30/07/2011;6;n/d;18;n/d;26;n/d
30/07/2011;7;n/d;18;n/d;21;n/d
30/07/2011;8;n/d;19;n/d;12;n/d
30/07/2011;9;n/d;20;n/d;10;n/d
30/07/2011;10;n/d;19;n/d;12;n/d
30/07/2011;11;n/d;21;n/d;10;n/d
30/07/2011;12;n/d;19;n/d;11;n/d
30/07/2011;13;n/d;18;n/d;10;n/d
30/07/2011;14;n/d;18;n/d;9;n/d
30/07/2011;15;n/d;19;n/d;10;n/d
30/07/2011;16;n/d;20;n/d;11;n/d
30/07/2011;17;n/d;20;n/d;13;n/d
30/07/2011;18;n/d;21;n/d;11;n/d
30/07/2011;19;n/d;24;n/d;16;n/d
30/07/2011;20;n/d;29;n/d;29;n/d
30/07/2011;21;n/d;35;n/d;27;n/d
30/07/2011;22;n/d;32;n/d;22;n/d
30/07/2011;23;n/d;23;n/d;25;n/d
30/07/2011;24;n/d;19;n/d;25;n/d
31/07/2011;1;n/d;19;n/d;27;n/d
31/07/2011;2;n/d;20;n/d;29;n/d
31/07/2011;3;n/d;20;n/d;33;n/d
31/07/2011;4;n/d;18;n/d;24;n/d
31/07/2011;5;n/d;18;n/d;29;n/d
31/07/2011;6;n/d;20;n/d;32;n/d
31/07/2011;7;n/d;18;n/d;21;n/d
31/07/2011;8;n/d;17;n/d;24;n/d
31/07/2011;9;n/d;19;n/d;28;n/d
31/07/2011;10;n/d;22;n/d;27;n/d
31/07/2011;11;n/d;22;n/d;29;n/d
31/07/2011;12;n/d;25;n/d;29;n/d
31/07/2011;13;n/d;29;n/d;28;n/d
31/07/2011;14;n/d;28;n/d;24;n/d
31/07/2011;15;n/d;26;n/d;17;n/d
31/07/2011;16;n/d;29;n/d;15;n/d
31/07/2011;17;n/d;24;n/d;16;n/d
31/07/2011;18;n/d;24;n/d;17;n/d
31/07/2011;19;n/d;24;n/d;22;n/d
31/07/2011;20;n/d;23;n/d;21;n/d
31/07/2011;21;n/d;27;n/d;26;n/d
31/07/2011;22;n/d;30;n/d;31;n/d
31/07/2011;23;n/d;27;n/d;42;n/d
31/07/2011;24;n/d;26;n/d;36;n/d
01/08/2011;1;n/d;25;n/d;26;n/d
01/08/2011;2;n/d;25;n/d;27;n/d
01/08/2011;3;n/d;27;n/d;22;n/d
01/08/2011;4;n/d;28;n/d;21;n/d
01/08/2011;5;n/d;28;n/d;41;n/d
01/08/2011;6;n/d;30;n/d;58;n/d
01/08/2011;7;n/d;32;n/d;57;n/d
01/08/2011;8;n/d;39;n/d;62;n/d
01/08/2011;9;n/d;40;n/d;60;n/d
01/08/2011;10;n/d;38;n/d;54;n/d
01/08/2011;11;n/d;32;n/d;30;n/d
01/08/2011;12;n/d;24;n/d;22;n/d
01/08/2011;13;n/d;23;n/d;25;n/d
01/08/2011;14;n/d;26;n/d;26;n/d
01/08/2011;15;n/d;24;n/d;19;n/d
01/08/2011;16;n/d;26;n/d;18;n/d
01/08/2011;17;n/d;25;n/d;21;n/d
01/08/2011;18;n/d;24;n/d;20;n/d
01/08/2011;19;n/d;23;n/d;21;n/d
01/08/2011;20;n/d;22;n/d;31;n/d
01/08/2011;21;n/d;28;n/d;38;n/d
01/08/2011;22;n/d;35;n/d;43;n/d
01/08/2011;23;n/d;35;n/d;46;n/d
01/08/2011;24;n/d;41;n/d;42;n/d
02/08/2011;1;n/d;42;n/d;28;n/d
02/08/2011;2;n/d;41;n/d;24;n/d
02/08/2011;3;n/d;35;n/d;20;n/d
02/08/2011;4;n/d;32;n/d;54;n/d
02/08/2011;5;n/d;38;n/d;66;n/d
02/08/2011;6;n/d;40;n/d;68;n/d
02/08/2011;7;n/d;45;n/d;77;n/d
02/08/2011;8;n/d;49;n/d;84;n/d
02/08/2011;9;n/d;50;n/d;79;n/d
02/08/2011;10;n/d;42;n/d;54;n/d
02/08/2011;11;n/d;33;n/d;48;n/d
02/08/2011;12;n/d;29;n/d;36;n/d
02/08/2011;13;n/d;32;n/d;34;n/d
02/08/2011;14;n/d;30;n/d;22;n/d
02/08/2011;15;n/d;32;n/d;28;n/d
02/08/2011;16;n/d;33;n/d;39;n/d
02/08/2011;17;n/d;36;n/d;34;n/d
02/08/2011;18;n/d;31;n/d;66;n/d
02/08/2011;19;n/d;25;n/d;82;n/d
02/08/2011;20;n/d;33;n/d;52;n/d
02/08/2011;21;n/d;34;n/d;51;n/d
02/08/2011;22;n/d;34;n/d;84;n/d
02/08/2011;23;n/d;38;n/d;94;n/d
02/08/2011;24;n/d;33;n/d;56;n/d
03/08/2011;1;n/d;30;n/d;43;n/d
03/08/2011;2;n/d;35;n/d;30;n/d
03/08/2011;3;n/d;33;n/d;18;n/d
03/08/2011;4;n/d;22;n/d;21;n/d
03/08/2011;5;n/d;14;n/d;32;n/d
03/08/2011;6;n/d;8;n/d;52;n/d
03/08/2011;7;n/d;13;n/d;58;n/d
03/08/2011;8;n/d;17;n/d;57;n/d
03/08/2011;9;n/d;20;n/d;48;n/d
03/08/2011;10;n/d;18;n/d;38;n/d
03/08/2011;11;n/d;20;n/d;33;n/d
03/08/2011;12;n/d;28;n/d;26;n/d
03/08/2011;13;n/d;29;n/d;25;n/d
03/08/2011;14;n/d;30;n/d;24;n/d
03/08/2011;15;n/d;31;n/d;22;n/d
03/08/2011;16;n/d;28;n/d;25;n/d
03/08/2011;17;n/d;32;n/d;31;n/d
03/08/2011;18;n/d;31;n/d;23;n/d
03/08/2011;19;n/d;32;n/d;46;n/d
03/08/2011;20;n/d;38;n/d;59;n/d
03/08/2011;21;n/d;33;n/d;30;n/d
03/08/2011;22;n/d;30;n/d;23;n/d
03/08/2011;23;n/d;30;n/d;24;n/d
03/08/2011;24;n/d;33;n/d;25;n/d
04/08/2011;1;n/d;33;n/d;22;n/d
04/08/2011;2;n/d;28;n/d;19;n/d
04/08/2011;3;n/d;26;n/d;22;n/d
04/08/2011;4;n/d;25;n/d;31;n/d
04/08/2011;5;n/d;35;n/d;97;n/d
04/08/2011;6;n/d;40;n/d;84;n/d
04/08/2011;7;n/d;29;n/d;44;n/d
04/08/2011;8;n/d;28;n/d;40;n/d
04/08/2011;9;n/d;29;n/d;27;n/d
04/08/2011;10;n/d;22;n/d;22;n/d
04/08/2011;11;n/d;18;n/d;19;n/d
04/08/2011;12;n/d;17;n/d;19;n/d
04/08/2011;13;n/d;25;n/d;24;n/d
04/08/2011;14;n/d;24;n/d;28;n/d
04/08/2011;15;n/d;18;n/d;27;n/d
04/08/2011;16;n/d;12;n/d;28;n/d
04/08/2011;17;n/d;13;n/d;28;n/d
04/08/2011;18;n/d;18;n/d;32;n/d
04/08/2011;19;n/d;15;n/d;27;n/d
04/08/2011;20;n/d;14;n/d;27;n/d
04/08/2011;21;n/d;13;n/d;24;n/d
04/08/2011;22;n/d;10;n/d;23;n/d
04/08/2011;23;n/d;11;n/d;16;n/d
04/08/2011;24;n/d;9;n/d;16;n/d
05/08/2011;1;n/d;7;n/d;15;n/d
05/08/2011;2;n/d;8;n/d;13;n/d
05/08/2011;3;n/d;11;n/d;14;n/d
05/08/2011;4;n/d;9;n/d;11;n/d
05/08/2011;5;n/d;16;n/d;44;n/d
05/08/2011;6;n/d;19;n/d;45;n/d
05/08/2011;7;n/d;16;n/d;44;n/d
05/08/2011;8;n/d;19;n/d;40;n/d
05/08/2011;9;n/d;20;n/d;42;n/d
05/08/2011;10;n/d;23;n/d;43;n/d
05/08/2011;11;n/d;21;n/d;41;n/d
05/08/2011;12;n/d;17;n/d;29;n/d
05/08/2011;13;n/d;13;n/d;26;n/d
05/08/2011;14;n/d;11;n/d;19;n/d
05/08/2011;15;n/d;11;n/d;18;n/d
05/08/2011;16;n/d;13;n/d;22;n/d
05/08/2011;17;n/d;29;n/d;34;n/d
05/08/2011;18;n/d;17;n/d;28;n/d
05/08/2011;19;n/d;13;n/d;41;n/d
05/08/2011;20;n/d;20;n/d;45;n/d
05/08/2011;21;n/d;16;n/d;33;n/d
05/08/2011;22;n/d;10;n/d;41;n/d
05/08/2011;23;n/d;16;n/d;53;n/d
05/08/2011;24;n/d;20;n/d;52;n/d
06/08/2011;1;n/d;20;n/d;43;n/d
06/08/2011;2;n/d;18;n/d;45;n/d
06/08/2011;3;n/d;22;n/d;53;n/d
06/08/2011;4;n/d;21;n/d;42;n/d
06/08/2011;5;n/d;17;n/d;35;n/d
06/08/2011;6;n/d;14;n/d;26;n/d
06/08/2011;7;n/d;14;n/d;22;n/d
06/08/2011;8;n/d;16;n/d;20;n/d
06/08/2011;9;n/d;17;n/d;20;n/d
06/08/2011;10;n/d;17;n/d;20;n/d
06/08/2011;11;n/d;12;n/d;15;n/d
06/08/2011;12;n/d;11;n/d;14;n/d
06/08/2011;13;n/d;10;n/d;13;n/d
06/08/2011;14;n/d;14;n/d;18;n/d
06/08/2011;15;n/d;16;n/d;19;n/d
06/08/2011;16;n/d;19;n/d;21;n/d
06/08/2011;17;n/d;17;n/d;24;n/d
06/08/2011;18;n/d;16;n/d;29;n/d
06/08/2011;19;n/d;13;n/d;25;n/d
06/08/2011;20;n/d;18;n/d;20;n/d
06/08/2011;21;n/d;14;n/d;45;n/d
06/08/2011;22;n/d;14;n/d;21;n/d
06/08/2011;23;n/d;13;n/d;23;n/d
06/08/2011;24;n/d;12;n/d;16;n/d
07/08/2011;1;n/d;12;n/d;15;n/d
07/08/2011;2;n/d;12;n/d;12;n/d
07/08/2011;3;n/d;10;n/d;9;n/d
07/08/2011;4;n/d;11;n/d;9;n/d
07/08/2011;5;n/d;11;n/d;11;n/d
07/08/2011;6;n/d;12;n/d;8;n/d
07/08/2011;7;n/d;13;n/d;9;n/d
07/08/2011;8;n/d;13;n/d;9;n/d
07/08/2011;9;n/d;11;n/d;8;n/d
07/08/2011;10;n/d;11;n/d;10;n/d
07/08/2011;11;n/d;11;n/d;8;n/d
07/08/2011;12;n/d;12;n/d;10;n/d
07/08/2011;13;n/d;17;n/d;12;n/d
07/08/2011;14;n/d;20;n/d;12;n/d
07/08/2011;15;n/d;18;n/d;14;n/d
07/08/2011;16;n/d;17;n/d;17;n/d
07/08/2011;17;n/d;18;n/d;17;n/d
07/08/2011;18;n/d;20;n/d;23;n/d
07/08/2011;19;n/d;18;n/d;20;n/d
07/08/2011;20;n/d;16;n/d;21;n/d
07/08/2011;21;n/d;17;n/d;19;n/d
07/08/2011;22;n/d;8;n/d;18;n/d
07/08/2011;23;n/d;7;n/d;25;n/d
07/08/2011;24;n/d;10;n/d;17;n/d
08/08/2011;1;n/d;8;n/d;8;n/d
08/08/2011;2;n/d;8;n/d;5;n/d
08/08/2011;3;n/d;8;n/d;5;n/d
08/08/2011;4;n/d;11;n/d;8;n/d
08/08/2011;5;n/d;13;n/d;18;n/d
08/08/2011;6;n/d;12;n/d;20;n/d
08/08/2011;7;n/d;13;n/d;19;n/d
08/08/2011;8;n/d;15;n/d;21;n/d
08/08/2011;9;n/d;20;n/d;22;n/d
08/08/2011;10;n/d;15;n/d;14;n/d
08/08/2011;11;n/d;12;n/d;14;n/d
08/08/2011;12;n/d;16;n/d;15;n/d
08/08/2011;13;n/d;11;n/d;13;n/d
08/08/2011;14;n/d;12;n/d;14;n/d
08/08/2011;15;n/d;15;n/d;16;n/d
08/08/2011;16;n/d;15;n/d;17;n/d
08/08/2011;17;n/d;19;n/d;25;n/d
08/08/2011;18;n/d;16;n/d;22;n/d
08/08/2011;19;n/d;20;n/d;33;n/d
08/08/2011;20;n/d;15;n/d;33;n/d
08/08/2011;21;n/d;13;n/d;27;n/d
08/08/2011;22;n/d;10;n/d;25;n/d
08/08/2011;23;n/d;10;n/d;15;n/d
08/08/2011;24;n/d;11;n/d;10;n/d
09/08/2011;1;n/d;12;n/d;7;n/d
09/08/2011;2;n/d;13;n/d;5;n/d
09/08/2011;3;n/d;14;n/d;5;n/d
09/08/2011;4;n/d;13;n/d;7;n/d
09/08/2011;5;n/d;13;n/d;13;n/d
09/08/2011;6;n/d;14;n/d;28;n/d
09/08/2011;7;n/d;16;n/d;26;n/d
09/08/2011;8;n/d;19;n/d;24;n/d
09/08/2011;9;n/d;16;n/d;22;n/d
09/08/2011;10;n/d;18;n/d;17;n/d
09/08/2011;11;n/d;20;n/d;11;n/d
09/08/2011;12;n/d;21;n/d;9;n/d
09/08/2011;13;n/d;24;n/d;10;n/d
09/08/2011;14;n/d;24;n/d;10;n/d
09/08/2011;15;n/d;22;n/d;11;n/d
09/08/2011;16;n/d;19;n/d;11;n/d
09/08/2011;17;n/d;21;n/d;11;n/d
09/08/2011;18;n/d;21;n/d;11;n/d
09/08/2011;19;n/d;18;n/d;17;n/d
09/08/2011;20;n/d;17;n/d;16;n/d
09/08/2011;21;n/d;16;n/d;16;n/d
09/08/2011;22;n/d;14;n/d;20;n/d
09/08/2011;23;n/d;15;n/d;23;n/d
09/08/2011;24;n/d;16;n/d;29;n/d
10/08/2011;1;n/d;16;n/d;18;n/d
10/08/2011;2;n/d;15;n/d;17;n/d
10/08/2011;3;n/d;15;n/d;29;n/d
10/08/2011;4;n/d;16;n/d;31;n/d
10/08/2011;5;n/d;17;n/d;49;n/d
10/08/2011;6;n/d;22;n/d;66;n/d
10/08/2011;7;n/d;27;n/d;69;n/d
10/08/2011;8;n/d;30;n/d;58;n/d
10/08/2011;9;n/d;25;n/d;41;n/d
10/08/2011;10;n/d;22;n/d;28;n/d
10/08/2011;11;n/d;23;n/d;21;n/d
10/08/2011;12;n/d;21;n/d;19;n/d
10/08/2011;13;n/d;20;n/d;18;n/d
10/08/2011;14;n/d;20;n/d;16;n/d
10/08/2011;15;n/d;21;n/d;21;n/d
10/08/2011;16;n/d;19;n/d;18;n/d
10/08/2011;17;n/d;17;n/d;24;n/d
10/08/2011;18;n/d;19;n/d;30;n/d
10/08/2011;19;n/d;23;n/d;32;n/d
10/08/2011;20;n/d;27;n/d;61;n/d
10/08/2011;21;n/d;31;n/d;75;n/d
10/08/2011;22;n/d;27;n/d;58;n/d
10/08/2011;23;n/d;22;n/d;42;n/d
10/08/2011;24;n/d;18;n/d;30;n/d
11/08/2011;1;n/d;18;n/d;30;n/d
11/08/2011;2;n/d;15;n/d;25;n/d
11/08/2011;3;n/d;15;n/d;35;n/d
11/08/2011;4;n/d;16;n/d;63;n/d
11/08/2011;5;n/d;19;n/d;63;n/d
11/08/2011;6;n/d;23;n/d;67;n/d
11/08/2011;7;n/d;30;n/d;70;n/d
11/08/2011;8;n/d;33;n/d;68;n/d
11/08/2011;9;n/d;29;n/d;38;n/d
11/08/2011;10;n/d;21;n/d;23;n/d
11/08/2011;11;n/d;15;n/d;26;n/d
11/08/2011;12;n/d;19;n/d;26;n/d
11/08/2011;13;n/d;23;n/d;28;n/d
11/08/2011;14;n/d;22;n/d;25;n/d
11/08/2011;15;n/d;26;n/d;28;n/d
11/08/2011;16;n/d;22;n/d;25;n/d
11/08/2011;17;n/d;21;n/d;24;n/d
11/08/2011;18;n/d;20;n/d;24;n/d
11/08/2011;19;n/d;24;n/d;33;n/d
11/08/2011;20;n/d;23;n/d;33;n/d
11/08/2011;21;n/d;17;n/d;33;n/d
11/08/2011;22;n/d;13;n/d;30;n/d
11/08/2011;23;n/d;15;n/d;16;n/d
11/08/2011;24;n/d;20;n/d;9;n/d
12/08/2011;1;n/d;n/d;n/d;13;n/d
12/08/2011;2;n/d;n/d;n/d;11;n/d
12/08/2011;3;n/d;8;n/d;10;n/d
12/08/2011;4;n/d;8;n/d;9;n/d
12/08/2011;5;n/d;11;n/d;14;n/d
12/08/2011;6;n/d;15;n/d;28;n/d
12/08/2011;7;n/d;19;n/d;28;n/d
12/08/2011;8;n/d;15;n/d;25;n/d
12/08/2011;9;n/d;11;n/d;22;n/d
12/08/2011;10;n/d;14;n/d;23;n/d
12/08/2011;11;n/d;16;n/d;26;n/d
12/08/2011;12;n/d;18;n/d;22;n/d
12/08/2011;13;n/d;n/d;n/d;n/d;n/d
12/08/2011;14;n/d;12;n/d;15;n/d
12/08/2011;15;n/d;16;n/d;13;n/d
12/08/2011;16;n/d;17;n/d;11;n/d
12/08/2011;17;n/d;18;n/d;13;n/d
12/08/2011;18;n/d;15;n/d;14;n/d
12/08/2011;19;n/d;13;n/d;17;n/d
12/08/2011;20;n/d;18;n/d;24;n/d
12/08/2011;21;n/d;15;n/d;19;n/d
12/08/2011;22;n/d;12;n/d;16;n/d
12/08/2011;23;n/d;8;n/d;14;n/d
12/08/2011;24;n/d;9;n/d;25;n/d
13/08/2011;1;n/d;10;n/d;23;n/d
13/08/2011;2;n/d;9;n/d;25;n/d
13/08/2011;3;n/d;9;n/d;26;n/d
13/08/2011;4;n/d;6;n/d;18;n/d
