date;heure;PM25;PM10;NO2;O3;CO
31/07/2011;13;n/d;29;28;n/d;n/d
31/07/2011;14;n/d;28;24;n/d;n/d
31/07/2011;15;n/d;26;17;n/d;n/d
31/07/2011;16;n/d;29;15;n/d;n/d
31/07/2011;17;n/d;24;16;n/d;n/d
31/07/2011;18;n/d;24;17;n/d;n/d
31/07/2011;19;n/d;24;22;n/d;n/d
31/07/2011;20;n/d;23;21;n/d;n/d
31/07/2011;21;n/d;27;26;n/d;n/d
31/07/2011;22;n/d;30;31;n/d;n/d
31/07/2011;23;n/d;27;42;n/d;n/d
31/07/2011;24;n/d;26;36;n/d;n/d
01/08/2011;1;n/d;25;26;n/d;n/d
01/08/2011;2;n/d;25;27;n/d;n/d
01/08/2011;3;n/d;27;22;n/d;n/d
01/08/2011;4;n/d;28;21;n/d;n/d
01/08/2011;5;n/d;28;41;n/d;n/d
01/08/2011;6;n/d;30;58;n/d;n/d
01/08/2011;7;n/d;32;57;n/d;n/d
01/08/2011;8;n/d;39;62;n/d;n/d
01/08/2011;9;n/d;40;60;n/d;n/d
01/08/2011;10;n/d;38;54;n/d;n/d
01/08/2011;11;n/d;32;30;n/d;n/d
01/08/2011;12;n/d;24;22;n/d;n/d
01/08/2011;13;n/d;23;25;n/d;n/d
01/08/2011;14;n/d;26;26;n/d;n/d
01/08/2011;15;n/d;24;19;n/d;n/d
01/08/2011;16;n/d;26;18;n/d;n/d
01/08/2011;17;n/d;25;21;n/d;n/d
01/08/2011;18;n/d;24;20;n/d;n/d
01/08/2011;19;n/d;23;21;n/d;n/d
01/08/2011;20;n/d;22;31;n/d;n/d
01/08/2011;21;n/d;28;38;n/d;n/d
01/08/2011;22;n/d;35;43;n/d;n/d
01/08/2011;23;n/d;35;46;n/d;n/d
01/08/2011;24;n/d;41;42;n/d;n/d
02/08/2011;1;n/d;42;28;n/d;n/d
02/08/2011;2;n/d;41;24;n/d;n/d
02/08/2011;3;n/d;35;20;n/d;n/d
02/08/2011;4;n/d;32;54;n/d;n/d
02/08/2011;5;n/d;38;66;n/d;n/d
02/08/2011;6;n/d;40;68;n/d;n/d
02/08/2011;7;n/d;45;77;n/d;n/d
02/08/2011;8;n/d;49;84;n/d;n/d
02/08/2011;9;n/d;50;79;n/d;n/d
02/08/2011;10;n/d;42;54;n/d;n/d
02/08/2011;11;n/d;33;48;n/d;n/d
02/08/2011;12;n/d;29;36;n/d;n/d
02/08/2011;13;n/d;32;34;n/d;n/d
02/08/2011;14;n/d;30;22;n/d;n/d
02/08/2011;15;n/d;32;28;n/d;n/d
02/08/2011;16;n/d;33;39;n/d;n/d
02/08/2011;17;n/d;36;34;n/d;n/d
02/08/2011;18;n/d;31;66;n/d;n/d
02/08/2011;19;n/d;25;82;n/d;n/d
02/08/2011;20;n/d;33;52;n/d;n/d
02/08/2011;21;n/d;34;51;n/d;n/d
02/08/2011;22;n/d;34;84;n/d;n/d
02/08/2011;23;n/d;38;94;n/d;n/d
02/08/2011;24;n/d;33;56;n/d;n/d
03/08/2011;1;n/d;30;43;n/d;n/d
03/08/2011;2;n/d;35;30;n/d;n/d
03/08/2011;3;n/d;33;18;n/d;n/d
03/08/2011;4;n/d;22;21;n/d;n/d
03/08/2011;5;n/d;14;32;n/d;n/d
03/08/2011;6;n/d;8;52;n/d;n/d
03/08/2011;7;n/d;13;58;n/d;n/d
03/08/2011;8;n/d;17;57;n/d;n/d
03/08/2011;9;n/d;20;48;n/d;n/d
03/08/2011;10;n/d;18;38;n/d;n/d
03/08/2011;11;n/d;20;33;n/d;n/d
03/08/2011;12;n/d;28;26;n/d;n/d
03/08/2011;13;n/d;29;25;n/d;n/d
03/08/2011;14;n/d;30;24;n/d;n/d
03/08/2011;15;n/d;31;22;n/d;n/d
03/08/2011;16;n/d;28;25;n/d;n/d
03/08/2011;17;n/d;32;31;n/d;n/d
03/08/2011;18;n/d;31;23;n/d;n/d
03/08/2011;19;n/d;32;46;n/d;n/d
03/08/2011;20;n/d;38;59;n/d;n/d
03/08/2011;21;n/d;33;30;n/d;n/d
03/08/2011;22;n/d;30;23;n/d;n/d
03/08/2011;23;n/d;30;24;n/d;n/d
03/08/2011;24;n/d;33;25;n/d;n/d
04/08/2011;1;n/d;33;22;n/d;n/d
04/08/2011;2;n/d;28;19;n/d;n/d
04/08/2011;3;n/d;26;22;n/d;n/d
04/08/2011;4;n/d;25;31;n/d;n/d
04/08/2011;5;n/d;35;97;n/d;n/d
04/08/2011;6;n/d;40;84;n/d;n/d
04/08/2011;7;n/d;29;44;n/d;n/d
04/08/2011;8;n/d;28;40;n/d;n/d
04/08/2011;9;n/d;29;27;n/d;n/d
04/08/2011;10;n/d;22;22;n/d;n/d
04/08/2011;11;n/d;18;19;n/d;n/d
04/08/2011;12;n/d;17;19;n/d;n/d
04/08/2011;13;n/d;25;24;n/d;n/d
04/08/2011;14;n/d;24;28;n/d;n/d
04/08/2011;15;n/d;18;27;n/d;n/d
04/08/2011;16;n/d;12;28;n/d;n/d
04/08/2011;17;n/d;13;28;n/d;n/d
04/08/2011;18;n/d;18;32;n/d;n/d
04/08/2011;19;n/d;15;27;n/d;n/d
04/08/2011;20;n/d;14;27;n/d;n/d
04/08/2011;21;n/d;13;24;n/d;n/d
04/08/2011;22;n/d;10;23;n/d;n/d
04/08/2011;23;n/d;11;16;n/d;n/d
04/08/2011;24;n/d;9;16;n/d;n/d
05/08/2011;1;n/d;7;15;n/d;n/d
05/08/2011;2;n/d;8;13;n/d;n/d
05/08/2011;3;n/d;11;14;n/d;n/d
05/08/2011;4;n/d;9;11;n/d;n/d
05/08/2011;5;n/d;16;44;n/d;n/d
05/08/2011;6;n/d;19;45;n/d;n/d
05/08/2011;7;n/d;16;44;n/d;n/d
05/08/2011;8;n/d;19;40;n/d;n/d
05/08/2011;9;n/d;20;42;n/d;n/d
05/08/2011;10;n/d;23;43;n/d;n/d
05/08/2011;11;n/d;21;41;n/d;n/d
05/08/2011;12;n/d;17;29;n/d;n/d
05/08/2011;13;n/d;13;26;n/d;n/d
05/08/2011;14;n/d;11;19;n/d;n/d
05/08/2011;15;n/d;11;18;n/d;n/d
05/08/2011;16;n/d;13;22;n/d;n/d
05/08/2011;17;n/d;29;34;n/d;n/d
05/08/2011;18;n/d;17;28;n/d;n/d
05/08/2011;19;n/d;13;41;n/d;n/d
05/08/2011;20;n/d;20;45;n/d;n/d
05/08/2011;21;n/d;16;33;n/d;n/d
05/08/2011;22;n/d;10;41;n/d;n/d
05/08/2011;23;n/d;16;53;n/d;n/d
05/08/2011;24;n/d;20;52;n/d;n/d
06/08/2011;1;n/d;20;43;n/d;n/d
06/08/2011;2;n/d;18;45;n/d;n/d
06/08/2011;3;n/d;22;53;n/d;n/d
06/08/2011;4;n/d;21;42;n/d;n/d
06/08/2011;5;n/d;17;35;n/d;n/d
06/08/2011;6;n/d;14;26;n/d;n/d
06/08/2011;7;n/d;14;22;n/d;n/d
06/08/2011;8;n/d;16;20;n/d;n/d
06/08/2011;9;n/d;17;20;n/d;n/d
06/08/2011;10;n/d;17;20;n/d;n/d
06/08/2011;11;n/d;12;15;n/d;n/d
06/08/2011;12;n/d;11;14;n/d;n/d
06/08/2011;13;n/d;10;13;n/d;n/d
06/08/2011;14;n/d;14;18;n/d;n/d
06/08/2011;15;n/d;16;19;n/d;n/d
06/08/2011;16;n/d;19;21;n/d;n/d
06/08/2011;17;n/d;17;24;n/d;n/d
06/08/2011;18;n/d;16;29;n/d;n/d
06/08/2011;19;n/d;13;25;n/d;n/d
06/08/2011;20;n/d;18;20;n/d;n/d
06/08/2011;21;n/d;14;45;n/d;n/d
06/08/2011;22;n/d;14;21;n/d;n/d
06/08/2011;23;n/d;13;23;n/d;n/d
06/08/2011;24;n/d;12;16;n/d;n/d
07/08/2011;1;n/d;12;15;n/d;n/d
07/08/2011;2;n/d;12;12;n/d;n/d
07/08/2011;3;n/d;10;9;n/d;n/d
07/08/2011;4;n/d;11;9;n/d;n/d
07/08/2011;5;n/d;11;11;n/d;n/d
07/08/2011;6;n/d;12;8;n/d;n/d
07/08/2011;7;n/d;13;9;n/d;n/d
07/08/2011;8;n/d;13;9;n/d;n/d
07/08/2011;9;n/d;11;8;n/d;n/d
07/08/2011;10;n/d;11;10;n/d;n/d
07/08/2011;11;n/d;11;8;n/d;n/d
07/08/2011;12;n/d;12;10;n/d;n/d
07/08/2011;13;n/d;17;12;n/d;n/d
07/08/2011;14;n/d;20;12;n/d;n/d
07/08/2011;15;n/d;18;14;n/d;n/d
07/08/2011;16;n/d;17;17;n/d;n/d
07/08/2011;17;n/d;18;17;n/d;n/d
07/08/2011;18;n/d;20;23;n/d;n/d
07/08/2011;19;n/d;18;20;n/d;n/d
07/08/2011;20;n/d;16;21;n/d;n/d
07/08/2011;21;n/d;17;19;n/d;n/d
07/08/2011;22;n/d;8;18;n/d;n/d
07/08/2011;23;n/d;7;25;n/d;n/d
07/08/2011;24;n/d;10;17;n/d;n/d
08/08/2011;1;n/d;8;8;n/d;n/d
08/08/2011;2;n/d;8;5;n/d;n/d
08/08/2011;3;n/d;8;5;n/d;n/d
08/08/2011;4;n/d;11;8;n/d;n/d
08/08/2011;5;n/d;13;18;n/d;n/d
08/08/2011;6;n/d;12;20;n/d;n/d
08/08/2011;7;n/d;13;19;n/d;n/d
08/08/2011;8;n/d;15;21;n/d;n/d
08/08/2011;9;n/d;20;22;n/d;n/d
08/08/2011;10;n/d;15;14;n/d;n/d
08/08/2011;11;n/d;12;14;n/d;n/d
08/08/2011;12;n/d;16;15;n/d;n/d
08/08/2011;13;n/d;11;13;n/d;n/d
08/08/2011;14;n/d;12;14;n/d;n/d
08/08/2011;15;n/d;15;16;n/d;n/d
08/08/2011;16;n/d;15;17;n/d;n/d
08/08/2011;17;n/d;19;25;n/d;n/d
08/08/2011;18;n/d;16;22;n/d;n/d
08/08/2011;19;n/d;20;33;n/d;n/d
08/08/2011;20;n/d;15;33;n/d;n/d
08/08/2011;21;n/d;13;27;n/d;n/d
08/08/2011;22;n/d;10;25;n/d;n/d
08/08/2011;23;n/d;10;15;n/d;n/d
08/08/2011;24;n/d;11;10;n/d;n/d
09/08/2011;1;n/d;12;7;n/d;n/d
09/08/2011;2;n/d;13;5;n/d;n/d
09/08/2011;3;n/d;14;5;n/d;n/d
09/08/2011;4;n/d;13;7;n/d;n/d
09/08/2011;5;n/d;13;13;n/d;n/d
09/08/2011;6;n/d;14;28;n/d;n/d
09/08/2011;7;n/d;16;26;n/d;n/d
09/08/2011;8;n/d;19;24;n/d;n/d
09/08/2011;9;n/d;16;22;n/d;n/d
09/08/2011;10;n/d;18;17;n/d;n/d
09/08/2011;11;n/d;20;11;n/d;n/d
09/08/2011;12;n/d;21;9;n/d;n/d
09/08/2011;13;n/d;24;10;n/d;n/d
09/08/2011;14;n/d;24;10;n/d;n/d
09/08/2011;15;n/d;22;11;n/d;n/d
09/08/2011;16;n/d;19;11;n/d;n/d
09/08/2011;17;n/d;21;11;n/d;n/d
09/08/2011;18;n/d;21;11;n/d;n/d
09/08/2011;19;n/d;18;17;n/d;n/d
09/08/2011;20;n/d;17;16;n/d;n/d
09/08/2011;21;n/d;16;16;n/d;n/d
09/08/2011;22;n/d;14;20;n/d;n/d
09/08/2011;23;n/d;15;23;n/d;n/d
09/08/2011;24;n/d;16;29;n/d;n/d
10/08/2011;1;n/d;16;18;n/d;n/d
10/08/2011;2;n/d;15;17;n/d;n/d
10/08/2011;3;n/d;15;29;n/d;n/d
10/08/2011;4;n/d;16;31;n/d;n/d
10/08/2011;5;n/d;17;49;n/d;n/d
10/08/2011;6;n/d;22;66;n/d;n/d
10/08/2011;7;n/d;27;69;n/d;n/d
10/08/2011;8;n/d;30;58;n/d;n/d
10/08/2011;9;n/d;25;41;n/d;n/d
10/08/2011;10;n/d;22;28;n/d;n/d
10/08/2011;11;n/d;23;21;n/d;n/d
10/08/2011;12;n/d;21;19;n/d;n/d
10/08/2011;13;n/d;20;18;n/d;n/d
10/08/2011;14;n/d;20;16;n/d;n/d
10/08/2011;15;n/d;21;21;n/d;n/d
10/08/2011;16;n/d;19;18;n/d;n/d
10/08/2011;17;n/d;17;24;n/d;n/d
10/08/2011;18;n/d;19;30;n/d;n/d
10/08/2011;19;n/d;23;32;n/d;n/d
10/08/2011;20;n/d;27;61;n/d;n/d
10/08/2011;21;n/d;31;75;n/d;n/d
10/08/2011;22;n/d;27;58;n/d;n/d
10/08/2011;23;n/d;22;42;n/d;n/d
10/08/2011;24;n/d;18;30;n/d;n/d
11/08/2011;1;n/d;18;30;n/d;n/d
11/08/2011;2;n/d;15;25;n/d;n/d
11/08/2011;3;n/d;15;35;n/d;n/d
11/08/2011;4;n/d;16;63;n/d;n/d
11/08/2011;5;n/d;19;63;n/d;n/d
11/08/2011;6;n/d;23;67;n/d;n/d
11/08/2011;7;n/d;30;70;n/d;n/d
11/08/2011;8;n/d;33;68;n/d;n/d
11/08/2011;9;n/d;29;38;n/d;n/d
11/08/2011;10;n/d;21;23;n/d;n/d
11/08/2011;11;n/d;15;26;n/d;n/d
11/08/2011;12;n/d;19;26;n/d;n/d
11/08/2011;13;n/d;23;28;n/d;n/d
11/08/2011;14;n/d;22;25;n/d;n/d
11/08/2011;15;n/d;26;28;n/d;n/d
11/08/2011;16;n/d;22;25;n/d;n/d
11/08/2011;17;n/d;21;24;n/d;n/d
11/08/2011;18;n/d;20;24;n/d;n/d
11/08/2011;19;n/d;24;33;n/d;n/d
11/08/2011;20;n/d;23;33;n/d;n/d
11/08/2011;21;n/d;17;33;n/d;n/d
11/08/2011;22;n/d;13;30;n/d;n/d
11/08/2011;23;n/d;15;16;n/d;n/d
11/08/2011;24;n/d;20;9;n/d;n/d
12/08/2011;1;n/d;n/d;13;n/d;n/d
12/08/2011;2;n/d;n/d;11;n/d;n/d
12/08/2011;3;n/d;8;10;n/d;n/d
12/08/2011;4;n/d;8;9;n/d;n/d
12/08/2011;5;n/d;11;14;n/d;n/d
12/08/2011;6;n/d;15;28;n/d;n/d
12/08/2011;7;n/d;19;28;n/d;n/d
12/08/2011;8;n/d;15;25;n/d;n/d
12/08/2011;9;n/d;11;22;n/d;n/d
12/08/2011;10;n/d;14;23;n/d;n/d
12/08/2011;11;n/d;16;26;n/d;n/d
12/08/2011;12;n/d;18;22;n/d;n/d
12/08/2011;13;n/d;n/d;n/d;n/d;n/d
12/08/2011;14;n/d;12;15;n/d;n/d
12/08/2011;15;n/d;16;13;n/d;n/d
12/08/2011;16;n/d;17;11;n/d;n/d
12/08/2011;17;n/d;18;13;n/d;n/d
12/08/2011;18;n/d;15;14;n/d;n/d
12/08/2011;19;n/d;13;17;n/d;n/d
12/08/2011;20;n/d;18;24;n/d;n/d
12/08/2011;21;n/d;15;19;n/d;n/d
12/08/2011;22;n/d;12;16;n/d;n/d
12/08/2011;23;n/d;8;14;n/d;n/d
12/08/2011;24;n/d;9;25;n/d;n/d
13/08/2011;1;n/d;10;23;n/d;n/d
13/08/2011;2;n/d;9;25;n/d;n/d
13/08/2011;3;n/d;9;26;n/d;n/d
13/08/2011;4;n/d;6;18;n/d;n/d
